celular;data;horario;local;latitude;longitude;tipo_celular;modelo_celular;possui_app_picmoney;data_ultima_compra;ultimo_tipo_cupom;ultimo_valor_capturado;ultimo_tipo_loja;idade;sexo
(11) 94306-9065;22/07/2025;07:45:00;Esquina Av. Consolação;-2.355.733.650.284.380;-4.666.032.358.212.910;Android;Xiaomi Redmi Note 11;Sim;01/07/2025;Desconto;395.95;outros;39;Feminino
(71) 97776-9042;22/07/2025;19:30:00;Esquina Rua da Paz;-23.562.914.248.813.400;-4.665.007.231.846.000;iPhone;iPhone SE;Sim;04/07/2025;Cashback;430.27;farmácia;22;Feminino
(11) 99752-6483;22/07/2025;21:15:00;Metrô Brigadeiro;-23.569.723.313.241.600;-4.664.482.380.523.240;Android;Motorola G60;Sim;26/06/2025;Produto;231.88;restaurante;43;Masculino
(11) 94623-1504;22/07/2025;08:15:00;Shopping Cidade São Paulo;-2.356.299.922.715.680;-4.665.208.124.466.790;iPhone;iPhone 14 Pro;Sim;25/06/2025;Cashback;406.86;móveis;21;Feminino
(11) 97032-2662;22/07/2025;17:00:00;Metrô Trianon-Masp;-23.563.816.773.135.900;-4.665.709.571.804.170;Android;Samsung Galaxy A52;Sim;11/07/2025;Desconto;310.44;eletrodoméstico;21;Outro
(11) 96959-4565;22/07/2025;19:30:00;Ponto de ônibus Pamplona;-23.567.409.917.608.000;-4.664.860.592.163.990;Android;Samsung S21;Sim;26/06/2025;Cashback;81.59;outros;68;Outro
(11) 95166-2615;22/07/2025;14:15:00;Metrô Consolação;-235.559.204.848.492;-46.661.505.917.073.500;Android;Xiaomi Redmi Note 11;Sim;30/06/2025;Desconto;132.74;esportivo;45;Masculino
(11) 99452-4155;22/07/2025;08:45:00;Esquina Rua da Paz;-23.562.373.285.451.100;-46.649.902.442.796.400;Android;Samsung Galaxy A52;Sim;29/06/2025;Desconto;465.92;esportivo;32;Feminino
(11) 97495-9305;22/07/2025;12:30:00;Metrô Consolação;-23.555.743.653.468.800;-4.666.179.398.268.090;Android;Realme C35;Sim;25/06/2025;Cashback;319.59;farmácia;27;Feminino
(11) 95421-1231;22/07/2025;15:45:00;Esquina Av. Consolação;-23.557.351.234.073.000;-46.659.863.939.421.500;Android;Samsung S21;Sim;28/06/2025;Desconto;64.92;vestuário;48;Outro
(11) 93191-6485;22/07/2025;14:45:00;Shopping Pátio Paulista;-2.357.053.193.909.690;-4.664.588.646.420.820;iPhone;iPhone 14 Pro;Sim;02/07/2025;Desconto;125.41;restaurante;51;Outro
(11) 97451-2036;22/07/2025;08:30:00;Esquina Av. Consolação;-23.557.585.049.669.100;-4.665.983.243.326.440;iPhone;iPhone SE;Sim;23/06/2025;Produto;129;eletrodoméstico;68;Feminino
(11) 99878-9440;22/07/2025;11:30:00;Metrô Brigadeiro;-23.569.887.934.593.500;-4.664.503.133.782.160;Android;Samsung Galaxy A52;Sim;03/07/2025;Produto;398.47;mercado express;33;Masculino
(11) 97085-1241;22/07/2025;20:45:00;Shopping Pátio Paulista;-2.357.049.402.139.820;-4.664.576.721.346.000;Android;Realme C35;Sim;22/06/2025;Cashback;67.81;móveis;62;Masculino
(41) 99136-3474;22/07/2025;08:30:00;Metrô Brigadeiro;-23.570.416.837.011.500;-4.664.476.044.619.960;Android;Realme C35;Sim;24/06/2025;Cashback;132.32;móveis;25;Masculino
(11) 94930-6830;22/07/2025;17:45:00;Metrô Brigadeiro;-2.356.947.906.221.050;-4.664.512.147.997.190;Android;Realme C35;Sim;06/07/2025;Produto;415.03;vestuário;35;Outro
(11) 93310-9082;22/07/2025;17:30:00;Esquina Av. Consolação;-23.557.713.330.673.700;-4.666.002.742.010.440;Android;Realme C35;Sim;01/07/2025;Produto;127.34;vestuário;20;Outro
(71) 91729-3394;22/07/2025;08:15:00;Shopping Pátio Paulista;-23.570.429.097.751.700;-4.664.543.888.802.430;iPhone;iPhone 12;Sim;26/06/2025;Produto;145.55;outros;55;Feminino
(11) 99347-8215;22/07/2025;18:45:00;Metrô Brigadeiro;-23.570.031.637.350.100;-4.664.463.131.262.000;iPhone;iPhone 13;Sim;19/07/2025;Produto;158.22;restaurante;46;Masculino
(11) 91818-5570;22/07/2025;18:00:00;Esquina Av. Consolação;-2.355.788.191.655.340;-4.666.015.806.627.630;Android;Realme C35;Sim;08/07/2025;Produto;188.67;mercado express;65;Feminino
(11) 95617-5544;22/07/2025;11:15:00;Metrô Trianon-Masp;-23.563.752.795.413.900;-466.565.037.271.491;iPhone;iPhone 14 Pro;Sim;29/06/2025;Cashback;366.2;móveis;16;Feminino
(41) 96406-5405;22/07/2025;11:30:00;Metrô Brigadeiro;-23.569.817.875.577.800;-4.664.489.617.180.180;Android;Motorola G60;Sim;03/07/2025;Cashback;458.21;esportivo;19;Masculino
(11) 93349-2088;22/07/2025;20:00:00;Esquina Av. Consolação;-23.557.591.486.167.500;-46.660.260.126.740.900;Android;Xiaomi Redmi Note 11;Sim;01/07/2025;Produto;101.58;mercado express;67;Masculino
(11) 96377-3469;22/07/2025;07:45:00;Shopping Cidade São Paulo;-23.563.097.466.216.900;-4.665.234.562.275.080;Android;Samsung S21;Sim;26/06/2025;Cashback;440.23;eletrodoméstico;41;Masculino
(11) 93557-7964;22/07/2025;13:15:00;Ponto de ônibus Augusta;-23.558.438.697.558.700;-4.665.917.888.884.000;iPhone;iPhone 13;Sim;26/06/2025;Cashback;334.41;móveis;33;Outro
(11) 96570-9338;22/07/2025;12:00:00;Shopping Pátio Paulista;-23.570.451.657.893.900;-46.645.914.419.639.300;Android;Xiaomi Redmi Note 11;Sim;26/06/2025;Desconto;464.61;outros;39;Masculino
(11) 92195-8463;22/07/2025;09:15:00;Metrô Trianon-Masp;-23.563.849.561.499.100;-4.665.638.658.459.330;Android;Realme C35;Sim;20/07/2025;Cashback;296.89;restaurante;27;Feminino
(11) 96039-5985;22/07/2025;13:00:00;Metrô Consolação;-23.555.486.919.815.300;-46.661.415.472.949.100;Android;Xiaomi Redmi Note 11;Sim;22/06/2025;Cashback;302.78;mercado express;33;Feminino
(11) 91974-4186;22/07/2025;19:15:00;MASP;-23.561.509.629.344.500;-4.665.594.193.579.250;Android;Realme C35;Sim;24/06/2025;Cashback;203.37;eletrodoméstico;34;Outro
(11) 93387-4645;22/07/2025;13:45:00;Shopping Pátio Paulista;-23.570.514.137.799.200;-4.664.569.666.368.520;iPhone;iPhone 14 Pro;Sim;28/06/2025;Cashback;195.47;farmácia;20;Feminino
(11) 97056-5570;22/07/2025;08:45:00;Metrô Brigadeiro;-23.570.068.923.713.500;-4.664.523.085.647.980;Android;Motorola G60;Sim;04/07/2025;Cashback;434;eletrodoméstico;36;Feminino
(11) 97314-2475;22/07/2025;20:15:00;Ponto de ônibus Augusta;-23.558.169.433.162.700;-4.665.877.729.572.930;iPhone;iPhone 14 Pro;Sim;22/06/2025;Produto;250.6;farmácia;33;Masculino
(11) 98404-2255;22/07/2025;09:15:00;Ponto de ônibus Pamplona;-23.567.629.263.459.500;-4.664.871.439.192.730;Android;Motorola G60;Sim;13/07/2025;Desconto;154.18;vestuário;30;Feminino
(11) 94346-1510;22/07/2025;18:45:00;Esquina Av. Consolação;-23.557.538.709.149.800;-4.666.002.092.932.480;Android;Samsung Galaxy A52;Sim;27/06/2025;Desconto;230.36;eletrodoméstico;23;Outro
(11) 92893-4814;22/07/2025;16:00:00;Shopping Cidade São Paulo;-2.356.308.777.061.120;-4.665.245.830.865.790;Android;Samsung Galaxy A52;Sim;01/07/2025;Cashback;44.39;eletrodoméstico;41;Feminino
(11) 92822-3255;22/07/2025;09:30:00;Metrô Consolação;-23.555.839.079.031.300;-4.666.176.040.813.100;iPhone;iPhone 12;Sim;02/07/2025;Produto;251.01;restaurante;20;Outro
(11) 99692-5977;22/07/2025;18:00:00;Metrô Brigadeiro;-2.356.987.497.699.660;-4.664.516.238.025.030;iPhone;iPhone 12;Sim;08/07/2025;Produto;316.87;farmácia;17;Outro
(11) 91308-4716;22/07/2025;19:15:00;Metrô Consolação;-2.355.579.748.894.390;-46.661.417.080.426.500;Android;Realme C35;Sim;11/07/2025;Produto;85.17;vestuário;54;Feminino
(11) 97263-2183;22/07/2025;15:30:00;Ponto de ônibus Pamplona;-23.567.454.082.520.600;-4.664.854.764.886.030;iPhone;iPhone 11;Sim;28/06/2025;Produto;333.51;esportivo;58;Masculino
(11) 97029-5914;22/07/2025;17:30:00;Shopping Pátio Paulista;-2.357.057.283.185.390;-46.645.662.765.281.800;iPhone;iPhone SE;Sim;11/07/2025;Cashback;29.63;eletrodoméstico;65;Masculino
(11) 97195-2842;22/07/2025;08:15:00;Esquina Rua da Paz;-2.356.279.306.807.660;-46.649.869.140.521.300;Android;Samsung S21;Sim;13/07/2025;Cashback;333.52;esportivo;66;Masculino
(11) 98943-2258;22/07/2025;18:30:00;Metrô Trianon-Masp;-23.563.885.375.233.400;-4.665.652.087.283.340;iPhone;iPhone 11;Sim;15/07/2025;Produto;231.83;vestuário;52;Outro
(11) 95000-5768;22/07/2025;06:00:00;Metrô Consolação;-23.555.740.005.596.200;-4.666.146.455.507.450;iPhone;iPhone 13;Sim;17/07/2025;Desconto;353.52;móveis;47;Feminino
(11) 92581-7910;22/07/2025;08:45:00;Esquina Av. Consolação;-23.557.357.314.194.700;-46.659.842.474.128.200;iPhone;iPhone 12;Sim;26/06/2025;Cashback;302.99;restaurante;51;Feminino
(11) 98801-8113;22/07/2025;18:45:00;MASP;-2.356.158.590.816.420;-46.656.100.390.359.400;Android;Samsung S21;Sim;14/07/2025;Cashback;100.75;outros;18;Feminino
(11) 95036-7855;22/07/2025;08:30:00;Shopping Cidade São Paulo;-23.563.205.384.225.400;-4.665.267.833.806.620;iPhone;iPhone 12;Sim;16/07/2025;Produto;294.75;outros;63;Outro
(11) 92217-7904;22/07/2025;12:30:00;Shopping Pátio Paulista;-2.357.020.466.147.750;-4.664.570.580.919.770;Android;Realme C35;Sim;30/06/2025;Produto;132.85;eletrodoméstico;69;Feminino
(11) 92330-1493;22/07/2025;17:00:00;Esquina Av. Consolação;-23.557.465.459.116.600;-46.659.751.090.201.800;Android;Samsung Galaxy A52;Sim;18/07/2025;Produto;259.99;vestuário;27;Feminino
(11) 91703-4906;22/07/2025;19:15:00;Shopping Cidade São Paulo;-23.563.625.994.453.900;-46.652.405.338.774.300;Android;Samsung S21;Sim;18/07/2025;Desconto;199.52;móveis;28;Masculino
(11) 92130-9301;22/07/2025;12:15:00;Ponto de ônibus Augusta;-23.558.577.423.454.700;-4.665.906.726.200.900;Android;Realme C35;Sim;23/06/2025;Cashback;494.1;mercado express;26;Masculino
(11) 97310-7381;22/07/2025;18:00:00;Metrô Brigadeiro;-23.569.703.308.224.800;-4.664.480.739.294.620;Android;Xiaomi Redmi Note 11;Sim;10/07/2025;Desconto;409.16;farmácia;25;Outro
(11) 95131-8584;22/07/2025;19:00:00;Esquina Rua da Paz;-2.356.249.057.594.560;-46.650.279.874.609.200;Android;Motorola G60;Sim;21/07/2025;Produto;428.16;eletrodoméstico;45;Feminino
(11) 93189-9619;22/07/2025;12:30:00;Ponto de ônibus Pamplona;-2.356.791.593.940.700;-4.664.880.588.154.460;Android;Motorola G60;Sim;08/07/2025;Produto;416.52;móveis;31;Outro
(11) 91238-7630;22/07/2025;08:15:00;Metrô Trianon-Masp;-23.563.879.436.108.700;-46.656.669.617.412.700;Android;Motorola G60;Sim;10/07/2025;Cashback;392.11;esportivo;53;Outro
(11) 97705-3898;22/07/2025;18:00:00;Shopping Cidade São Paulo;-23.563.169.187.902.300;-4.665.206.767.249.020;Android;Realme C35;Sim;18/07/2025;Produto;375.56;restaurante;17;Feminino
(11) 93612-5448;22/07/2025;17:30:00;Metrô Trianon-Masp;-23.563.772.493.923.400;-4.665.671.790.989.130;Android;Samsung Galaxy A52;Sim;06/07/2025;Cashback;56.57;eletrodoméstico;34;Feminino
(11) 97718-2368;22/07/2025;12:15:00;Metrô Trianon-Masp;-2.356.390.515.945.610;-46.656.597.221.727.500;iPhone;iPhone 12;Sim;14/07/2025;Cashback;218.05;mercado express;51;Feminino
(11) 95954-4722;22/07/2025;18:15:00;Shopping Cidade São Paulo;-2.356.329.460.176.290;-4.665.236.421.987.860;Android;Samsung Galaxy A52;Sim;28/06/2025;Produto;155.78;vestuário;42;Outro
(11) 96580-3812;22/07/2025;08:45:00;Esquina Rua da Paz;-2.356.261.612.705.590;-46.649.819.724.656.700;iPhone;iPhone SE;Sim;03/07/2025;Desconto;21.83;eletrodoméstico;50;Masculino
(11) 99947-9159;22/07/2025;16:30:00;Shopping Cidade São Paulo;-2.356.317.604.022.310;-4.665.256.254.280.490;Android;Xiaomi Redmi Note 11;Sim;21/07/2025;Cashback;330.33;restaurante;29;Masculino
(11) 94787-8406;22/07/2025;20:15:00;Esquina Av. Consolação;-23.557.644.687.444.600;-4.666.063.985.292.900;iPhone;iPhone SE;Sim;18/07/2025;Cashback;77.25;restaurante;48;Feminino
(11) 98815-2658;22/07/2025;17:15:00;Shopping Pátio Paulista;-23.570.576.227.169.700;-46.645.254.969.129.600;Android;Samsung S21;Sim;04/07/2025;Cashback;291.23;esportivo;16;Masculino
(11) 95859-9338;22/07/2025;14:00:00;Metrô Brigadeiro;-2.356.972.301.879.180;-46.644.892.909.629.300;iPhone;iPhone 14 Pro;Sim;13/07/2025;Produto;451.04;restaurante;19;Masculino
(11) 98468-8006;22/07/2025;20:45:00;Metrô Trianon-Masp;-23.564.093.582.938.300;-4.665.677.128.048.360;Android;Samsung Galaxy A52;Sim;28/06/2025;Desconto;96.3;vestuário;18;Outro
(61) 92911-1301;22/07/2025;10:00:00;Esquina Av. Consolação;-23.557.499.157.895.800;-4.665.989.192.517.380;iPhone;iPhone 14 Pro;Sim;21/07/2025;Desconto;391.66;vestuário;68;Outro
(11) 96249-9491;22/07/2025;17:15:00;Ponto de ônibus Augusta;-23.558.669.320.968.400;-4.665.912.372.599.010;Android;Samsung Galaxy A52;Sim;13/07/2025;Desconto;303.89;restaurante;57;Masculino
(11) 92052-8334;22/07/2025;17:00:00;Metrô Brigadeiro;-23.569.767.204.622.900;-4.664.462.046.925.830;Android;Xiaomi Redmi Note 11;Sim;23/06/2025;Produto;399.67;restaurante;26;Feminino
(11) 98611-5091;22/07/2025;15:45:00;Shopping Pátio Paulista;-23.570.518.713.247.900;-4.664.537.078.612.880;Android;Realme C35;Sim;18/07/2025;Cashback;393.48;farmácia;24;Outro
(11) 97674-3623;22/07/2025;13:00:00;Esquina Rua da Paz;-23.562.341.064.335.300;-4.665.045.873.240.440;Android;Xiaomi Redmi Note 11;Sim;10/07/2025;Desconto;180.08;eletrodoméstico;48;Outro
(11) 92768-5164;22/07/2025;10:30:00;Metrô Brigadeiro;-2.357.019.539.351.310;-4.664.517.851.780.090;iPhone;iPhone SE;Sim;20/07/2025;Desconto;248.23;farmácia;39;Masculino
(11) 97391-7916;22/07/2025;07:00:00;MASP;-23.561.471.486.041.600;-4.665.593.882.408.540;Android;Motorola G60;Sim;22/06/2025;Cashback;197.82;outros;17;Feminino
(11) 92630-4574;22/07/2025;15:45:00;MASP;-2.356.124.893.849.650;-4.665.593.404.477.300;Android;Motorola G60;Sim;30/06/2025;Desconto;330.99;vestuário;20;Feminino
(11) 92692-1814;22/07/2025;18:45:00;Metrô Trianon-Masp;-235.642.824.060.656;-4.665.662.738.188.500;Android;Xiaomi Redmi Note 11;Sim;28/06/2025;Cashback;350.66;restaurante;24;Feminino
(71) 95837-3302;22/07/2025;20:30:00;Metrô Consolação;-2.355.592.438.825.240;-4.666.172.319.054.790;Android;Xiaomi Redmi Note 11;Sim;24/06/2025;Cashback;109.43;móveis;17;Masculino
(11) 97079-5066;22/07/2025;16:30:00;Metrô Consolação;-2.355.530.867.812.490;-4.666.163.296.570.860;Android;Xiaomi Redmi Note 11;Sim;09/07/2025;Cashback;51.61;farmácia;54;Outro
(11) 95496-7413;22/07/2025;13:15:00;MASP;-23.561.290.432.356.200;-466.562.693.388.095;iPhone;iPhone SE;Sim;15/07/2025;Produto;49.43;farmácia;68;Outro
(11) 97574-7587;22/07/2025;06:45:00;MASP;-2.356.158.612.982.630;-4.665.609.838.273.890;Android;Motorola G60;Sim;19/07/2025;Desconto;331.11;vestuário;67;Outro
(11) 96172-6520;22/07/2025;17:45:00;Ponto de ônibus Augusta;-2.355.869.087.594.460;-4.665.891.689.240.120;Android;Motorola G60;Sim;22/06/2025;Desconto;429.14;restaurante;57;Outro
(21) 95380-2816;22/07/2025;12:30:00;Metrô Trianon-Masp;-23.563.857.886.986.400;-4.665.660.107.389.900;Android;Samsung S21;Sim;24/06/2025;Produto;111.68;móveis;62;Masculino
(11) 95640-1354;22/07/2025;18:45:00;Metrô Consolação;-23.555.548.280.049.700;-46.661.203.748.909.100;Android;Samsung Galaxy A52;Sim;29/06/2025;Produto;321.59;mercado express;26;Masculino
(11) 91972-7233;22/07/2025;16:00:00;Shopping Cidade São Paulo;-23.563.129.988.859.000;-4.665.211.512.738.710;Android;Motorola G60;Sim;07/07/2025;Produto;253.39;restaurante;46;Outro
(11) 92633-9363;22/07/2025;13:30:00;MASP;-2.356.134.532.593.000;-4.665.572.989.901.870;Android;Realme C35;Sim;24/06/2025;Desconto;164.08;restaurante;59;Masculino
(11) 92668-5576;22/07/2025;06:15:00;Metrô Consolação;-2.355.600.390.935.560;-4.666.171.562.725.600;Android;Samsung S21;Sim;19/07/2025;Cashback;301.43;eletrodoméstico;38;Outro
(61) 95554-7389;22/07/2025;07:45:00;Ponto de ônibus Pamplona;-2.356.742.090.611.190;-4.664.825.750.181.110;iPhone;iPhone 13;Sim;09/07/2025;Cashback;186.61;eletrodoméstico;49;Outro
(11) 95162-8191;22/07/2025;12:00:00;Metrô Trianon-Masp;-23.564.228.626.844.300;-4.665.707.665.982.220;iPhone;iPhone 11;Sim;03/07/2025;Produto;191.22;eletrodoméstico;58;Outro
(11) 98332-9261;22/07/2025;21:30:00;Esquina Rua da Paz;-2.356.259.965.288.520;-46.649.797.973.857.100;iPhone;iPhone 12;Sim;16/07/2025;Desconto;197.25;mercado express;34;Outro
(11) 99564-5486;22/07/2025;18:00:00;Shopping Cidade São Paulo;-2.356.347.377.911.820;-4.665.253.838.397.840;iPhone;iPhone 11;Sim;08/07/2025;Produto;59.87;farmácia;61;Feminino
(11) 98850-2267;22/07/2025;15:30:00;Esquina Rua da Paz;-2.356.246.881.628.270;-4.665.002.319.425.050;Android;Samsung S21;Sim;10/07/2025;Desconto;308.24;outros;34;Feminino
(71) 91274-7443;22/07/2025;18:30:00;MASP;-2.356.129.510.670.360;-4.665.612.674.535.200;Android;Xiaomi Redmi Note 11;Sim;21/07/2025;Cashback;172.01;eletrodoméstico;51;Feminino
(11) 96247-2902;22/07/2025;08:30:00;MASP;-23.561.478.995.718.800;-4.665.564.196.291.950;Android;Xiaomi Redmi Note 11;Sim;29/06/2025;Cashback;440.19;esportivo;53;Masculino
(11) 98317-6513;22/07/2025;07:15:00;Metrô Brigadeiro;-23.570.076.579.238.700;-46.644.703.617.540.700;Android;Realme C35;Sim;17/07/2025;Produto;83.68;mercado express;23;Outro
(61) 95268-8714;22/07/2025;18:30:00;Metrô Trianon-Masp;-2.356.413.959.170.200;-4.665.689.898.165.150;Android;Motorola G60;Sim;13/07/2025;Produto;285.67;farmácia;35;Feminino
(11) 91744-4423;22/07/2025;10:45:00;Metrô Trianon-Masp;-2.356.416.437.980.940;-46.656.561.014.162.300;Android;Xiaomi Redmi Note 11;Sim;09/07/2025;Produto;462.81;eletrodoméstico;34;Outro
(11) 97031-7375;22/07/2025;09:45:00;Metrô Consolação;-23.555.483.851.987.800;-4.666.185.460.613.300;Android;Motorola G60;Sim;11/07/2025;Desconto;476.67;vestuário;70;Outro
(11) 94234-3783;22/07/2025;11:30:00;Shopping Cidade São Paulo;-2.356.340.825.382.890;-46.652.563.958.754.700;Android;Motorola G60;Sim;15/07/2025;Desconto;349.82;mercado express;54;Feminino
(21) 93283-2651;22/07/2025;13:15:00;Metrô Consolação;-2.355.595.083.921.920;-46.661.397.157.095.800;Android;Samsung Galaxy A52;Sim;02/07/2025;Desconto;54.11;outros;19;Feminino
(11) 92480-4432;22/07/2025;10:30:00;Shopping Pátio Paulista;-23.570.551.220.518.100;-4.664.537.013.889.890;Android;Xiaomi Redmi Note 11;Sim;05/07/2025;Desconto;75.16;outros;36;Masculino
(11) 99749-9053;22/07/2025;18:30:00;Metrô Consolação;-23.555.389.397.829.800;-4.666.156.612.313.330;Android;Samsung S21;Sim;12/07/2025;Produto;408.08;restaurante;66;Feminino
(11) 98001-1946;22/07/2025;07:00:00;Metrô Brigadeiro;-2.357.036.985.623.680;-4.664.493.954.258.100;Android;Samsung Galaxy A52;Sim;03/07/2025;Desconto;59.68;móveis;48;Masculino
(11) 94624-8920;22/07/2025;18:15:00;Esquina Av. Consolação;-2.355.731.305.037.400;-4.665.995.507.353.680;iPhone;iPhone 14 Pro;Sim;13/07/2025;Desconto;288.45;restaurante;65;Outro
(11) 96863-2495;22/07/2025;12:30:00;Esquina Rua da Paz;-23.562.354.697.016.200;-4.664.992.858.692.510;iPhone;iPhone 14 Pro;Sim;01/07/2025;Produto;155.92;outros;70;Feminino
(11) 93133-4009;22/07/2025;17:15:00;Metrô Consolação;-23.555.835.230.437.400;-4.666.140.491.704.430;Android;Motorola G60;Sim;19/07/2025;Produto;30.25;móveis;54;Feminino
(11) 96197-6155;22/07/2025;10:45:00;Esquina Rua da Paz;-23.562.439.261.481.200;-4.664.968.276.054.690;Android;Samsung S21;Sim;29/06/2025;Cashback;120.17;móveis;34;Outro
(11) 95907-8313;22/07/2025;10:00:00;Ponto de ônibus Pamplona;-2.356.737.062.590.700;-4.664.807.238.895.760;Android;Samsung Galaxy A52;Sim;21/07/2025;Produto;323.56;mercado express;61;Masculino
(11) 97566-2508;22/07/2025;08:30:00;Ponto de ônibus Pamplona;-23.567.357.523.331.000;-4.664.865.753.231.830;iPhone;iPhone 13;Sim;20/07/2025;Cashback;349.6;vestuário;46;Outro
(11) 97409-5859;22/07/2025;18:15:00;Esquina Av. Consolação;-23.557.716.389.175.800;-466.601.905.937.667;iPhone;iPhone 12;Sim;04/07/2025;Desconto;331.35;outros;28;Outro
(11) 92926-4400;22/07/2025;07:45:00;Metrô Trianon-Masp;-23.563.664.337.623.900;-46.656.735.465.488.100;iPhone;iPhone 13;Sim;14/07/2025;Produto;109.59;farmácia;20;Outro
(11) 97418-4545;22/07/2025;17:30:00;Shopping Cidade São Paulo;-23.563.289.528.678.700;-4.665.233.468.732.880;Android;Xiaomi Redmi Note 11;Sim;29/06/2025;Desconto;27.57;esportivo;27;Outro
(31) 92914-9643;22/07/2025;17:00:00;MASP;-235.616.168.954.982;-46.655.644.871.353.600;Android;Realme C35;Sim;13/07/2025;Desconto;454.56;vestuário;54;Masculino
(11) 94120-6423;22/07/2025;07:15:00;Metrô Trianon-Masp;-2.356.404.058.158.070;-4.665.642.859.469.730;Android;Samsung Galaxy A52;Sim;03/07/2025;Produto;275.6;outros;17;Feminino
(11) 93824-5702;22/07/2025;13:30:00;MASP;-23.561.097.476.191.200;-4.665.586.404.047.320;Android;Xiaomi Redmi Note 11;Sim;21/07/2025;Produto;194.2;outros;18;Feminino
(11) 93638-4458;22/07/2025;09:15:00;Metrô Consolação;-235.557.899.541.344;-46.661.949.393.291.100;iPhone;iPhone 11;Sim;10/07/2025;Produto;446.6;farmácia;24;Masculino
(11) 98141-3399;22/07/2025;13:30:00;Shopping Pátio Paulista;-23.571.014.519.846.500;-46.645.496.903.912.600;Android;Motorola G60;Sim;15/07/2025;Cashback;417.95;mercado express;31;Outro
(11) 96873-1654;22/07/2025;18:45:00;Metrô Trianon-Masp;-23.563.967.369.147.000;-4.665.677.320.963.120;iPhone;iPhone SE;Sim;28/06/2025;Cashback;353.81;eletrodoméstico;65;Masculino
(11) 95106-3809;22/07/2025;17:15:00;Metrô Consolação;-2.355.566.169.511.670;-4.666.159.894.718.710;Android;Samsung Galaxy A52;Sim;08/07/2025;Desconto;202.05;outros;58;Masculino
(31) 92792-3474;22/07/2025;18:30:00;Shopping Pátio Paulista;-23.570.250.433.621.700;-46.645.506.854.552.300;Android;Realme C35;Sim;21/07/2025;Cashback;404.86;esportivo;62;Outro
(11) 99455-5668;22/07/2025;11:00:00;MASP;-23.561.520.852.404.500;-4.665.584.096.966.700;Android;Motorola G60;Sim;14/07/2025;Desconto;74.65;mercado express;40;Feminino
(11) 98920-1958;22/07/2025;17:30:00;Esquina Rua da Paz;-2.356.209.733.581.070;-4.665.010.471.074.850;iPhone;iPhone 14 Pro;Sim;12/07/2025;Produto;194.73;farmácia;18;Feminino
