celular;data;horario;local;latitude;longitude;tipo_celular;modelo_celular;possui_app_picmoney;data_ultima_compra;ultimo_tipo_cupom;ultimo_valor_capturado;ultimo_tipo_loja;idade;sexo;;�nicos
(11) 99452-4155;22/07/2025;08:45:00;Esquina Rua da Paz;-23.562.373.285.451.100;-46.649.902.442.796.400;Android;Samsung Galaxy A52;Sim;29/06/2025;Desconto;465.92;esportivo;32;Feminino;;
(11) 97495-9305;22/07/2025;12:30:00;Metrô Consolação;-23.555.743.653.468.800;-4.666.179.398.268.090;Android;Realme C35;Sim;25/06/2025;Cashback;319.59;farmácia;27;Feminino;;
(11) 95421-1231;22/07/2025;15:45:00;Esquina Av. Consolação;-23.557.351.234.073.000;-46.659.863.939.421.500;Android;Samsung S21;Sim;28/06/2025;Desconto;64.92;vestuário;48;Outro;;
(11) 93191-6485;22/07/2025;14:45:00;Shopping Pátio Paulista;-2.357.053.193.909.690;-4.664.588.646.420.820;iPhone;iPhone 14 Pro;Sim;02/07/2025;Desconto;125.41;restaurante;51;Outro;;
(11) 97451-2036;22/07/2025;08:30:00;Esquina Av. Consolação;-23.557.585.049.669.100;-4.665.983.243.326.440;iPhone;iPhone SE;Sim;23/06/2025;Produto;129;eletrodoméstico;68;Feminino;;
(11) 93368-9201;22/07/2025;07:45:00;Esquina Av. Consolação;-2.355.723.456.175.540;-4.666.006.530.732.060;Android;Realme C35;Não;;;;;67;Feminino;;
(11) 99878-9440;22/07/2025;11:30:00;Metrô Brigadeiro;-23.569.887.934.593.500;-4.664.503.133.782.160;Android;Samsung Galaxy A52;Sim;03/07/2025;Produto;398.47;mercado express;33;Masculino;;
(11) 97085-1241;22/07/2025;20:45:00;Shopping Pátio Paulista;-2.357.049.402.139.820;-4.664.576.721.346.000;Android;Realme C35;Sim;22/06/2025;Cashback;67.81;móveis;62;Masculino;;
(41) 99136-3474;22/07/2025;08:30:00;Metrô Brigadeiro;-23.570.416.837.011.500;-4.664.476.044.619.960;Android;Realme C35;Sim;24/06/2025;Cashback;132.32;móveis;25;Masculino;;
(11) 94930-6830;22/07/2025;17:45:00;Metrô Brigadeiro;-2.356.947.906.221.050;-4.664.512.147.997.190;Android;Realme C35;Sim;06/07/2025;Produto;415.03;vestuário;35;Outro;;
(11) 93310-9082;22/07/2025;17:30:00;Esquina Av. Consolação;-23.557.713.330.673.700;-4.666.002.742.010.440;Android;Realme C35;Sim;01/07/2025;Produto;127.34;vestuário;20;Outro;;
(11) 92935-5254;22/07/2025;18:00:00;Shopping Pátio Paulista;-23.570.586.500.776.700;-4.664.545.189.628.450;Android;Samsung S21;Não;;;;;34;Feminino;;
(11) 97350-4589;22/07/2025;17:45:00;Metrô Trianon-Masp;-2.356.405.407.211.160;-4.665.682.852.456.600;Android;Xiaomi Redmi Note 11;Não;;;;;64;Masculino;;
(11) 97596-9247;22/07/2025;10:45:00;Metrô Consolação;-2.355.603.468.189.010;-46.661.444.873.163.000;iPhone;iPhone 13;Não;;;;;52;Outro;;
(71) 91729-3394;22/07/2025;08:15:00;Shopping Pátio Paulista;-23.570.429.097.751.700;-4.664.543.888.802.430;iPhone;iPhone 12;Sim;26/06/2025;Produto;145.55;outros;55;Feminino;;
(11) 99347-8215;22/07/2025;18:45:00;Metrô Brigadeiro;-23.570.031.637.350.100;-4.664.463.131.262.000;iPhone;iPhone 13;Sim;19/07/2025;Produto;158.22;restaurante;46;Masculino;;
(11) 91648-1933;22/07/2025;08:30:00;Esquina Av. Consolação;-23.557.848.738.901.400;-4.665.985.807.979.570;Android;Samsung Galaxy A52;Não;;;;;39;Feminino;;
(11) 91818-5570;22/07/2025;18:00:00;Esquina Av. Consolação;-2.355.788.191.655.340;-4.666.015.806.627.630;Android;Realme C35;Sim;08/07/2025;Produto;188.67;mercado express;65;Feminino;;
(11) 95617-5544;22/07/2025;11:15:00;Metrô Trianon-Masp;-23.563.752.795.413.900;-466.565.037.271.491;iPhone;iPhone 14 Pro;Sim;29/06/2025;Cashback;366.2;móveis;16;Feminino;;
(11) 92735-5458;22/07/2025;12:15:00;Metrô Brigadeiro;-235.699.472.440.831;-4.664.510.276.740.850;Android;Samsung S21;Não;;;;;17;Outro;;
(41) 96406-5405;22/07/2025;11:30:00;Metrô Brigadeiro;-23.569.817.875.577.800;-4.664.489.617.180.180;Android;Motorola G60;Sim;03/07/2025;Cashback;458.21;esportivo;19;Masculino;;
(11) 97297-5022;22/07/2025;13:15:00;Metrô Brigadeiro;-23.569.587.684.123.400;-4.664.509.024.680.090;iPhone;iPhone SE;Não;;;;;57;Masculino;;
(11) 96532-9556;22/07/2025;08:00:00;Metrô Brigadeiro;-235.701.603.570.127;-4.664.496.760.627.450;iPhone;iPhone 13;Não;;;;;61;Outro;;
(11) 93349-2088;22/07/2025;20:00:00;Esquina Av. Consolação;-23.557.591.486.167.500;-46.660.260.126.740.900;Android;Xiaomi Redmi Note 11;Sim;01/07/2025;Produto;101.58;mercado express;67;Masculino;;
(11) 96377-3469;22/07/2025;07:45:00;Shopping Cidade São Paulo;-23.563.097.466.216.900;-4.665.234.562.275.080;Android;Samsung S21;Sim;26/06/2025;Cashback;440.23;eletrodoméstico;41;Masculino;;
(11) 93557-7964;22/07/2025;13:15:00;Ponto de Ônibus Augusta;-23.558.438.697.558.700;-4.665.917.888.884.000;iPhone;iPhone 13;Sim;26/06/2025;Cashback;334.41;móveis;33;Outro;;
(11) 96570-9338;22/07/2025;12:00:00;Shopping Pátio Paulista;-23.570.451.657.893.900;-46.645.914.419.639.300;Android;Xiaomi Redmi Note 11;Sim;26/06/2025;Desconto;464.61;outros;39;Masculino;;
(11) 91142-2405;22/07/2025;06:00:00;Esquina Av. Consolação;-23.557.665.546.277.900;-46.660.048.582.846.200;Android;Samsung S21;Não;;;;;28;Masculino;;
(71) 94757-4863;22/07/2025;13:00:00;Metrô Brigadeiro;-2.356.948.963.631.700;-4.664.484.203.492.620;Android;Samsung Galaxy A52;Não;;;;;49;Outro;;
(11) 92195-8463;22/07/2025;09:15:00;Metrô Trianon-Masp;-23.563.849.561.499.100;-4.665.638.658.459.330;Android;Realme C35;Sim;20/07/2025;Cashback;296.89;restaurante;27;Feminino;;
(11) 96152-4462;22/07/2025;07:30:00;Shopping Pátio Paulista;-23.569.828.433.572.800;-4.664.564.268.218.640;iPhone;iPhone 13;Não;;;;;57;Feminino;;
(11) 96039-5985;22/07/2025;13:00:00;Metrô Consolação;-23.555.486.919.815.300;-46.661.415.472.949.100;Android;Xiaomi Redmi Note 11;Sim;22/06/2025;Cashback;302.78;mercado express;33;Feminino;;
(11) 94138-1105;22/07/2025;12:30:00;Ponto de Ônibus Pamplona;-2.356.730.079.349.930;-4.664.814.515.207.630;Android;Xiaomi Redmi Note 11;Não;;;;;31;Masculino;;
(11) 97976-5236;22/07/2025;12:15:00;Metrô Trianon-Masp;-23.564.148.862.606.100;-4.665.676.973.700.470;Android;Samsung S21;Não;;;;;23;Outro;;
(11) 92223-5172;22/07/2025;08:30:00;Esquina Rua da Paz;-23.562.436.046.897.300;-46.650.036.539.954.300;iPhone;iPhone 14 Pro;Não;;;;;64;Masculino;;
(11) 98851-4656;22/07/2025;09:15:00;Ponto de Ônibus Augusta;-235.584.362.998.294;-4.665.868.745.024.290;Android;Xiaomi Redmi Note 11;Não;;;;;52;Masculino;;
(11) 91974-4186;22/07/2025;19:15:00;MASP;-23.561.509.629.344.500;-4.665.594.193.579.250;Android;Realme C35;Sim;24/06/2025;Cashback;203.37;eletrodoméstico;34;Outro;;
(11) 93387-4645;22/07/2025;13:45:00;Shopping Pátio Paulista;-23.570.514.137.799.200;-4.664.569.666.368.520;iPhone;iPhone 14 Pro;Sim;28/06/2025;Cashback;195.47;farmácia;20;Feminino;;
(11) 99481-1577;22/07/2025;18:15:00;Metrô Consolação;-23.556.153.801.165.600;-4.666.173.402.552.850;Android;Realme C35;Não;;;;;59;Outro;;
(11) 91418-6664;22/07/2025;09:30:00;Ponto de Ônibus Augusta;-2.355.836.252.535.150;-4.665.871.249.064.980;Android;Samsung Galaxy A52;Não;;;;;52;Feminino;;
(11) 97056-5570;22/07/2025;08:45:00;Metrô Brigadeiro;-23.570.068.923.713.500;-4.664.523.085.647.980;Android;Motorola G60;Sim;04/07/2025;Cashback;434;eletrodoméstico;36;Feminino;;
(71) 95326-1871;22/07/2025;07:45:00;MASP;-23.561.407.953.239.400;-4.665.629.611.901.290;Android;Motorola G60;Não;;;;;57;Masculino;;
(11) 92518-1976;22/07/2025;19:00:00;Shopping Pátio Paulista;-235.706.379.940.406;-4.664.599.820.841.190;Android;Motorola G60;Não;;;;;47;Outro;;
(11) 92065-9135;22/07/2025;17:00:00;Shopping Pátio Paulista;-2.357.027.518.774.000;-4.664.580.486.623.080;iPhone;iPhone 13;Não;;;;;68;Outro;;
(11) 97314-2475;22/07/2025;20:15:00;Ponto de Ônibus Augusta;-23.558.169.433.162.700;-4.665.877.729.572.930;iPhone;iPhone 14 Pro;Sim;22/06/2025;Produto;250.6;farmácia;33;Masculino;;
(11) 98404-2255;22/07/2025;09:15:00;Ponto de Ônibus Pamplona;-23.567.629.263.459.500;-4.664.871.439.192.730;Android;Motorola G60;Sim;13/07/2025;Desconto;154.18;vestuário;30;Feminino;;
(11) 94346-1510;22/07/2025;18:45:00;Esquina Av. Consolação;-23.557.538.709.149.800;-4.666.002.092.932.480;Android;Samsung Galaxy A52;Sim;27/06/2025;Desconto;230.36;eletrodoméstico;23;Outro;;
(11) 92893-4814;22/07/2025;16:00:00;Shopping Cidade São Paulo;-2.356.308.777.061.120;-4.665.245.830.865.790;Android;Samsung Galaxy A52;Sim;01/07/2025;Cashback;44.39;eletrodoméstico;41;Feminino;;
(11) 92308-3249;22/07/2025;12:45:00;MASP;-23.561.264.721.025.200;-46.655.827.934.389;Android;Samsung S21;Não;;;;;54;Masculino;;
(11) 92822-3255;22/07/2025;09:30:00;Metrô Consolação;-23.555.839.079.031.300;-4.666.176.040.813.100;iPhone;iPhone 12;Sim;02/07/2025;Produto;251.01;restaurante;20;Outro;;
(11) 99692-5977;22/07/2025;18:00:00;Metrô Brigadeiro;-2.356.987.497.699.660;-4.664.516.238.025.030;iPhone;iPhone 12;Sim;08/07/2025;Produto;316.87;farmácia;17;Outro;;
(11) 92965-5935;22/07/2025;07:00:00;Metrô Brigadeiro;-23.569.826.312.261.000;-46.644.981.912.262.900;Android;Realme C35;Não;;;;;36;Masculino;;
(11) 94999-9097;22/07/2025;21:30:00;Esquina Av. Consolação;-23.557.447.658.543.300;-4.665.964.675.151.800;Android;Xiaomi Redmi Note 11;Não;;;;;58;Feminino;;
(11) 91308-4716;22/07/2025;19:15:00;Metrô Consolação;-2.355.579.748.894.390;-46.661.417.080.426.500;Android;Realme C35;Sim;11/07/2025;Produto;85.17;vestuário;54;Feminino;;
(11) 97263-2183;22/07/2025;15:30:00;Ponto de Ônibus Pamplona;-23.567.454.082.520.600;-4.664.854.764.886.030;iPhone;iPhone 11;Sim;28/06/2025;Produto;333.51;esportivo;58;Masculino;;
(11) 97029-5914;22/07/2025;17:30:00;Shopping Pátio Paulista;-2.357.057.283.185.390;-46.645.662.765.281.800;iPhone;iPhone SE;Sim;11/07/2025;Cashback;29.63;eletrodoméstico;65;Masculino;;
(11) 95346-2757;22/07/2025;07:45:00;Ponto de Ônibus Pamplona;-23.567.444.046.458.400;-46.648.691.864.153.000;Android;Samsung S21;Não;;;;;20;Outro;;
(11) 97195-2842;22/07/2025;08:15:00;Esquina Rua da Paz;-2.356.279.306.807.660;-46.649.869.140.521.300;Android;Samsung S21;Sim;13/07/2025;Cashback;333.52;esportivo;66;Masculino;;
(11) 98943-2258;22/07/2025;18:30:00;Metrô Trianon-Masp;-23.563.885.375.233.400;-4.665.652.087.283.340;iPhone;iPhone 11;Sim;15/07/2025;Produto;231.83;vestuário;52;Outro;;
(11) 95000-5768;22/07/2025;06:00:00;Metrô Consolação;-23.555.740.005.596.200;-4.666.146.455.507.450;iPhone;iPhone 13;Sim;17/07/2025;Desconto;353.52;móveis;47;Feminino;;
(11) 92581-7910;22/07/2025;08:45:00;Esquina Av. Consolação;-23.557.357.314.194.700;-46.659.842.474.128.200;iPhone;iPhone 12;Sim;26/06/2025;Cashback;302.99;restaurante;51;Feminino;;
(11) 98801-8113;22/07/2025;18:45:00;MASP;-2.356.158.590.816.420;-46.656.100.390.359.400;Android;Samsung S21;Sim;14/07/2025;Cashback;100.75;outros;18;Feminino;;
(11) 95969-2845;22/07/2025;17:15:00;Esquina Av. Consolação;-2.355.757.771.384.930;-46.660.003.476.821.900;Android;Motorola G60;Não;;;;;27;Outro;;
(11) 95036-7855;22/07/2025;08:30:00;Shopping Cidade São Paulo;-23.563.205.384.225.400;-4.665.267.833.806.620;iPhone;iPhone 12;Sim;16/07/2025;Produto;294.75;outros;63;Outro;;
(11) 92217-7904;22/07/2025;12:30:00;Shopping Pátio Paulista;-2.357.020.466.147.750;-4.664.570.580.919.770;Android;Realme C35;Sim;30/06/2025;Produto;132.85;eletrodoméstico;69;Feminino;;
(11) 92330-1493;22/07/2025;17:00:00;Esquina Av. Consolação;-23.557.465.459.116.600;-46.659.751.090.201.800;Android;Samsung Galaxy A52;Sim;18/07/2025;Produto;259.99;vestuário;27;Feminino;;
(11) 91703-4906;22/07/2025;19:15:00;Shopping Cidade São Paulo;-23.563.625.994.453.900;-46.652.405.338.774.300;Android;Samsung S21;Sim;18/07/2025;Desconto;199.52;móveis;28;Masculino;;
(11) 92130-9301;22/07/2025;12:15:00;Ponto de Ônibus Augusta;-23.558.577.423.454.700;-4.665.906.726.200.900;Android;Realme C35;Sim;23/06/2025;Cashback;494.1;mercado express;26;Masculino;;
(11) 93560-2915;22/07/2025;07:00:00;Esquina Rua da Paz;-23.562.534.697.318.100;-4.664.971.057.304.030;iPhone;iPhone SE;Não;;;;;37;Outro;;
(11) 97310-7381;22/07/2025;18:00:00;Metrô Brigadeiro;-23.569.703.308.224.800;-4.664.480.739.294.620;Android;Xiaomi Redmi Note 11;Sim;10/07/2025;Desconto;409.16;farmácia;25;Outro;;
(11) 95131-8584;22/07/2025;19:00:00;Esquina Rua da Paz;-2.356.249.057.594.560;-46.650.279.874.609.200;Android;Motorola G60;Sim;21/07/2025;Produto;428.16;eletrodoméstico;45;Feminino;;
(11) 93189-9619;22/07/2025;12:30:00;Ponto de Ônibus Pamplona;-2.356.791.593.940.700;-4.664.880.588.154.460;Android;Motorola G60;Sim;08/07/2025;Produto;416.52;móveis;31;Outro;;
(11) 97236-2063;22/07/2025;18:45:00;Metrô Brigadeiro;-2.356.976.604.685.910;-4.664.499.264.605.740;Android;Samsung S21;Não;;;;;18;Masculino;;
(11) 95937-4390;22/07/2025;13:45:00;Ponto de Ônibus Pamplona;-2.356.754.203.272.950;-46.648.573.715.381.300;iPhone;iPhone 13;Não;;;;;34;Feminino;;
(11) 96622-9383;22/07/2025;18:00:00;Ponto de Ônibus Pamplona;-2.356.709.765.568.490;-466.486.645.807.182;Android;Samsung S21;Não;;;;;28;Masculino;;
(11) 91238-7630;22/07/2025;08:15:00;Metrô Trianon-Masp;-23.563.879.436.108.700;-46.656.669.617.412.700;Android;Motorola G60;Sim;10/07/2025;Cashback;392.11;esportivo;53;Outro;;
(11) 97705-3898;22/07/2025;18:00:00;Shopping Cidade São Paulo;-23.563.169.187.902.300;-4.665.206.767.249.020;Android;Realme C35;Sim;18/07/2025;Produto;375.56;restaurante;17;Feminino;;
(11) 93612-5448;22/07/2025;17:30:00;Metrô Trianon-Masp;-23.563.772.493.923.400;-4.665.671.790.989.130;Android;Samsung Galaxy A52;Sim;06/07/2025;Cashback;56.57;eletrodoméstico;34;Feminino;;
(11) 97718-2368;22/07/2025;12:15:00;Metrô Trianon-Masp;-2.356.390.515.945.610;-46.656.597.221.727.500;iPhone;iPhone 12;Sim;14/07/2025;Cashback;218.05;mercado express;51;Feminino;;
(21) 97407-4219;22/07/2025;08:00:00;Metrô Trianon-Masp;-23.564.063.512.572.200;-46.656.629.149.011.400;Android;Samsung Galaxy A52;Não;;;;;41;Masculino;;
(11) 95954-4722;22/07/2025;18:15:00;Shopping Cidade São Paulo;-2.356.329.460.176.290;-4.665.236.421.987.860;Android;Samsung Galaxy A52;Sim;28/06/2025;Produto;155.78;vestuário;42;Outro;;
(11) 96580-3812;22/07/2025;08:45:00;Esquina Rua da Paz;-2.356.261.612.705.590;-46.649.819.724.656.700;iPhone;iPhone SE;Sim;03/07/2025;Desconto;21.83;eletrodoméstico;50;Masculino;;
(11) 99947-9159;22/07/2025;16:30:00;Shopping Cidade São Paulo;-2.356.317.604.022.310;-4.665.256.254.280.490;Android;Xiaomi Redmi Note 11;Sim;21/07/2025;Cashback;330.33;restaurante;29;Masculino;;
(11) 94787-8406;22/07/2025;20:15:00;Esquina Av. Consolação;-23.557.644.687.444.600;-4.666.063.985.292.900;iPhone;iPhone SE;Sim;18/07/2025;Cashback;77.25;restaurante;48;Feminino;;
(11) 96072-8267;22/07/2025;21:00:00;Metrô Brigadeiro;-2.356.993.689.852.030;-4.664.499.147.098.690;Android;Xiaomi Redmi Note 11;Não;;;;;51;Masculino;;
(11) 98815-2658;22/07/2025;17:15:00;Shopping Pátio Paulista;-23.570.576.227.169.700;-46.645.254.969.129.600;Android;Samsung S21;Sim;04/07/2025;Cashback;291.23;esportivo;16;Masculino;;
(11) 95859-9338;22/07/2025;14:00:00;Metrô Brigadeiro;-2.356.972.301.879.180;-46.644.892.909.629.300;iPhone;iPhone 14 Pro;Sim;13/07/2025;Produto;451.04;restaurante;19;Masculino;;
(11) 91216-5704;22/07/2025;16:30:00;Metrô Brigadeiro;-23.570.166.653.806.900;-4.664.507.192.841.080;Android;Realme C35;Não;;;;;56;Feminino;;
(11) 96127-2542;22/07/2025;13:00:00;Esquina Av. Consolação;-23.557.597.332.561.400;-4.666.015.721.623.970;Android;Motorola G60;Não;;;;;35;Feminino;;
(11) 97564-3389;22/07/2025;17:00:00;Shopping Pátio Paulista;-235.707.089.761.331;-4.664.601.262.459.070;Android;Motorola G60;Não;;;;;63;Outro;;
(11) 91322-3747;22/07/2025;17:15:00;Ponto de Ônibus Augusta;-23.558.755.170.640.900;-4.665.882.518.131.940;Android;Xiaomi Redmi Note 11;Não;;;;;34;Masculino;;
(11) 98468-8006;22/07/2025;20:45:00;Metrô Trianon-Masp;-23.564.093.582.938.300;-4.665.677.128.048.360;Android;Samsung Galaxy A52;Sim;28/06/2025;Desconto;96.3;vestuário;18;Outro;;
(11) 97329-6197;22/07/2025;17:45:00;Ponto de Ônibus Pamplona;-2.356.750.108.226.690;-4.664.826.652.186.420;iPhone;iPhone 14 Pro;Não;;;;;21;Masculino;;
(61) 92911-1301;22/07/2025;10:00:00;Esquina Av. Consolação;-23.557.499.157.895.800;-4.665.989.192.517.380;iPhone;iPhone 14 Pro;Sim;21/07/2025;Desconto;391.66;vestuário;68;Outro;;
(11) 96249-9491;22/07/2025;17:15:00;Ponto de Ônibus Augusta;-23.558.669.320.968.400;-4.665.912.372.599.010;Android;Samsung Galaxy A52;Sim;13/07/2025;Desconto;303.89;restaurante;57;Masculino;;
(11) 92052-8334;22/07/2025;17:00:00;Metrô Brigadeiro;-23.569.767.204.622.900;-4.664.462.046.925.830;Android;Xiaomi Redmi Note 11;Sim;23/06/2025;Produto;399.67;restaurante;26;Feminino;;
(11) 96639-5358;22/07/2025;07:30:00;Ponto de Ônibus Augusta;-23.558.214.045.028.000;-46.658.883.434.386.100;Android;Realme C35;Não;;;;;42;Masculino;;
(11) 98611-5091;22/07/2025;15:45:00;Shopping Pátio Paulista;-23.570.518.713.247.900;-4.664.537.078.612.880;Android;Realme C35;Sim;18/07/2025;Cashback;393.48;farmácia;24;Outro;;
(11) 97674-3623;22/07/2025;13:00:00;Esquina Rua da Paz;-23.562.341.064.335.300;-4.665.045.873.240.440;Android;Xiaomi Redmi Note 11;Sim;10/07/2025;Desconto;180.08;eletrodoméstico;48;Outro;;
(11) 98555-1486;22/07/2025;17:45:00;Ponto de Ônibus Pamplona;-2.356.771.078.616.950;-4.664.843.237.193.490;Android;Realme C35;Não;;;;;23;Masculino;;
(11) 92768-5164;22/07/2025;10:30:00;Metrô Brigadeiro;-2.357.019.539.351.310;-4.664.517.851.780.090;iPhone;iPhone SE;Sim;20/07/2025;Desconto;248.23;farmácia;39;Masculino;;
(11) 96055-9556;22/07/2025;18:00:00;Shopping Pátio Paulista;-23.570.688.962.988.700;-4.664.570.223.318.120;Android;Xiaomi Redmi Note 11;Não;;;;;65;Feminino;;
(11) 97391-7916;22/07/2025;07:00:00;MASP;-23.561.471.486.041.600;-4.665.593.882.408.540;Android;Motorola G60;Sim;22/06/2025;Cashback;197.82;outros;17;Feminino;;
(11) 92630-4574;22/07/2025;15:45:00;MASP;-2.356.124.893.849.650;-4.665.593.404.477.300;Android;Motorola G60;Sim;30/06/2025;Desconto;330.99;vestuário;20;Feminino;;
